Comment,Designator,Footprint,LCSC Part #
1k,R4,0207/7,C433532
1k,R6,3362P,C118947
10k,R3,0207/7,C410695
100nF,C7 C8 C9,C050-030X075,C333838
120R,R2,0207/7,C433527
470uF,C1 C2 C3 C4,E5-10.5,C338188
500R,R5,3362P,C118916
820R,R1,0207/7,C410580
1500uF,C5 C6,E5-13,C107417
HEATSINKXSD,KK1 KK2 KK3,XSD1226-005,C116600
LD1085V3,IC1,TO220V-J,
LM2991V,IC3,TO220-5V-J,
KK-156-8,X1 X2,KK-156-8,C138436
F061,+5V +15V -15V GND G L N,FLATSTIFT,C86469
